name,address,lat,lng,kreis,district,group,size
Migros-Supermarkt - Zürich - Pünt,"Albisriederstrasse 365, 8047 Zürich, Schweiz",47.375208699999995,8.485711199999999,Kreis 9,Albisrieden,migros_group,1.0
Migros,"Albisriederstrasse 253, 8047 Zürich, Schweiz",47.3783453,8.4938779,Kreis 9,Albisrieden,migros_group,1.0
Denner Discount,"Bockhornstrasse 1, 8047 Zürich, Schweiz",47.375963299999995,8.4839948,Kreis 9,Albisrieden,migros_group,1.0
Denner Discount,"Letzigraben 120, 8047 Zürich, Schweiz",47.3765558,8.4973795,Kreis 9,Albisrieden,migros_group,1.0
migrolino Zürich Rautistrasse,"Rautistrasse 32, 8047 Zürich, Schweiz",47.3812262,8.4920641,Kreis 9,Albisrieden,migros_group,0.3
migrolino Zürich Rautistrasse,"Rautistrasse 12, 8047 Zürich, Schweiz",47.380395,8.4941506,Kreis 9,Albisrieden,migros_group,0.3
Coop Supermarkt Zürich Albisriederplatz,"Badenerstrasse 333, 8003 Zürich, Schweiz",47.3777615,8.5112322,Kreis 9,Albisrieden,competitors,1.0
Coop Supermarkt Zürich A-Park,"Albisriederstrasse 334, 8047 Zürich, Schweiz",47.3761905,8.4870812,Kreis 9,Albisrieden,competitors,1.0
Coop Supermarkt Zürich Gutstrasse,"Gutstrasse 159, 8047 Zürich, Schweiz",47.373663099999995,8.5023812,Kreis 9,Albisrieden,competitors,1.0
Coop Supermarkt Zürich Triemli,"In der Ey 85, 8047 Zürich, Schweiz",47.370577,8.4921401,Kreis 9,Albisrieden,competitors,1.0
Lidl Schweiz,"Pflanzschulstrasse 7, 8004 Zürich, Schweiz",47.375319999999995,8.51935,Kreis 9,Albisrieden,competitors,1.0
Lidl Schweiz,"Grubenstrasse 28, 8045 Zürich, Schweiz",47.36178,8.51493,Kreis 9,Albisrieden,competitors,1.0
Lidl Schweiz,"Förrlibuckstrasse 62, 8005 Zürich, Schweiz",47.39252,8.51569,Kreis 9,Albisrieden,competitors,1.0
Lidl Schweiz,"Fraumünsterstrasse 16, 8001 Zürich, Schweiz",47.3688262,8.5411485,Kreis 9,Albisrieden,competitors,1.0
Lidl Schweiz,"Zürcherstrasse 133, 8952 Schlieren, Schweiz",47.39753,8.46486,Kreis 9,Albisrieden,competitors,1.0
Lidl Schweiz,"Hofwiesenstrasse 350, 8050 Zürich, Schweiz",47.4105,8.542729999999999,Kreis 9,Albisrieden,competitors,1.0
Lidl Schweiz,"Wehntalerstrasse 625, 8046 Zürich, Schweiz",47.4223919,8.4991596,Kreis 9,Albisrieden,competitors,1.0
Lidl Schweiz,"Ohmstrasse 11, 8050 Zürich, Schweiz",47.4101908,8.545897199999999,Kreis 9,Albisrieden,competitors,1.0
Lidl Schweiz,"Reitmenstrasse 5, 8952 Schlieren, Schweiz",47.3993447,8.4324879,Kreis 9,Albisrieden,competitors,1.0
Lidl Schweiz,"Soodring 25, 8134 Adliswil, Schweiz",47.31957,8.5204,Kreis 9,Albisrieden,competitors,1.0
Lidl Schweiz,"Ueberlandstrasse 381, 8051 Zürich, Schweiz",47.4078526,8.585158,Kreis 9,Albisrieden,competitors,1.0
Lidl Schweiz,"Grünaustrasse, 8953 Dietikon, Schweiz",47.4103923,8.4042087,Kreis 9,Albisrieden,competitors,1.0
Lidl Schweiz,"Grütpark, Adlikerstrasse 295, 8105 Regensdorf, Schweiz",47.44435,8.46523,Kreis 9,Albisrieden,competitors,1.0
Neumarkt Oerlikon,"Hofwiesenstrasse 350, 8050 Zürich, Schweiz",47.4104775,8.5429323,Kreis 9,Albisrieden,competitors,1.0
Lidl Schweiz,"Alte Bremgartenstrasse 10b, 8964 Rudolfstetten-Friedlisberg, Schweiz",47.3683103,8.379700399999999,Kreis 9,Albisrieden,competitors,1.0
ALDI Suisse,"Badenerstrasse 565, 8048 Zürich, Schweiz",47.3837812,8.4975848,Kreis 9,Albisrieden,competitors,1.0
ALDI SUISSE,"Hohlstrasse 473, 8048 Zürich, Schweiz",47.3883187,8.4967741,Kreis 9,Albisrieden,competitors,1.0
ALDI SUISSE,"Birmensdorferstrasse 313, 8055 Zürich, Schweiz",47.3695917,8.509188199999999,Kreis 9,Albisrieden,competitors,1.0
ALDI SUISSE,"Zollstrasse 58, 8005 Zürich, Schweiz",47.3808365,8.5331893,Kreis 9,Albisrieden,competitors,1.0
SPAR Supermarkt Zürich Zollfreilager,"Freilagerstrasse 51, 8047 Zürich, Schweiz",47.3800421,8.4896783,Kreis 9,Albisrieden,competitors,1.0
ALDI SUISSE,"Sihlstrasse 3, 8001 Zürich, Schweiz",47.37372690000001,8.5376525,Kreis 9,Albisrieden,competitors,1.0
ALDI SUISSE,"Albisstrasse 81, 8038 Zürich, Schweiz",47.3409069,8.5306032,Kreis 9,Albisrieden,competitors,1.0
ALDI SUISSE,"Mythenquai 353, 8038 Zürich, Schweiz",47.3454582,8.5347438,Kreis 9,Albisrieden,competitors,1.0
ALDI SUISSE,"Ofenhalle, Wehntalerstrasse 634, 8046 Zürich, Schweiz",47.42319,8.4994569,Kreis 9,Albisrieden,competitors,1.0
ALDI SUISSE,"Stadelhoferstrasse 10, 8001 Zürich, Schweiz",47.366789,8.5480012,Kreis 9,Albisrieden,competitors,1.0
Coop Supermarkt Zürich Letzipark,"Baslerstrasse 50, 8048 Zürich, Schweiz",47.3859855,8.499333,Kreis 9,Albisrieden,competitors,1.0
ALDI Zürich,"Baumackerstrasse 35, 8050 Zürich, Schweiz",47.4089561,8.5438043,Kreis 9,Albisrieden,competitors,1.0
ALDI SUISSE,"Wagistrasse 20, 8952 Schlieren, Schweiz",47.3984406,8.4597418,Kreis 9,Albisrieden,competitors,1.0
ALDI SUISSE,"Binzmühlestrasse 102, 8050 Zürich, Schweiz",47.4137869,8.5390221,Kreis 9,Albisrieden,competitors,1.0
ALDI SUISSE,"Ueberlandstrasse 441, 8051 Zürich, Schweiz",47.4058514,8.5921951,Kreis 9,Albisrieden,competitors,1.0
ALDI SUISSE,"Schärenmoosstrasse 77, 8052 Zürich, Schweiz",47.4194852,8.556865,Kreis 9,Albisrieden,competitors,1.0
Migros-Supermarkt - Zürich - Altstetten Neumarkt,"Neumarkt Altstetten, Altstetterstrasse 145, 8048 Zürich, Schweiz",47.3881781,8.486922,Kreis 9,Altstetten,migros_group,1.0
Migros-Supermarkt - Zürich - Altstetten M-Express,"Hohlstrasse 600, 8048 Zürich, Schweiz",47.3913612,8.4877977,Kreis 9,Altstetten,migros_group,0.3
Denner Discount,"im OG, Altstetterstrasse 145, 8048 Zürich, Schweiz",47.3884662,8.486958999999999,Kreis 9,Altstetten,migros_group,1.0
Denner Discount,"Baslerstrasse 50, 8048 Zürich, Schweiz",47.385924800000005,8.499636299999999,Kreis 9,Altstetten,migros_group,1.0
