Quartier,Income_1kCHF
Rathaus,62.9
Hochschulen,76.83
Lindenhof,74.17
City,72.07
Wollishofen,59.22
Leimbach,48.82
Enge,79.57
Alt-Wiedikon,64.3
Friesenberg,44.13
Sihlfeld,53.93
Werd,68.85
Langstrasse,61.2
Hard,44.67
Gewerbeschule,54.33
Escher Wyss,90.86
Unterstrass,58.93
Oberstrass,72.78
Fluntern,87.75
Hottingen,79.58
Hirslanden,72.4
Witikon,62.5
Seefeld,77.6
Mühlebach,78.08
Weinegg,71.78
Albisrieden,54.93
Altstetten,50.87
Höngg,59.4
Wipkingen,57
Affoltern,46.67
Oerlikon,59.9
Seebach,48.8
Saatlen,42.07
Schwamendingen-Mitte,41.9
Hirzenbach,40.1
