qname,qnr,kname,knr,Quartier,Inhabitants,area_km2,density_inh_per_km2
Alt-Wiedikon,31,Kreis 3,3,Alt-Wiedikon,18610,1.692467823068566,10995.777731395054
Witikon,74,Kreis 7,7,Witikon,11747,4.933789795627664,2380.9283505369885
Langstrasse,42,Kreis 4,4,Langstrasse,11869,1.2117983831446888,9794.533616391895
Escher Wyss,52,Kreis 5,5,Escher Wyss,6077,1.2662787643185764,4799.101249455305
Enge,24,Kreis 2,2,Enge,10032,2.365205953147848,4241.491100023839
Weinegg,83,Kreis 8,8,Weinegg,5635,1.7453934323878058,3228.4984550967242
Seefeld,81,Kreis 8,8,Seefeld,5807,2.4219150390482387,2397.689393052379
Leimbach,23,Kreis 2,2,Leimbach,6415,2.9201651182764654,2196.793585352547
Wollishofen,21,Kreis 2,2,Wollishofen,21800,5.780555777374435,3771.263670757572
Mühlebach,82,Kreis 8,8,Mühlebach,6456,0.6391162958489764,10101.447955452471
Oberstrass,63,Kreis 6,6,Oberstrass,11083,2.635030399252128,4206.023582553571
Schwamendingen-Mitte,122,Kreis 12,12,Schwamendingen-Mitte,11314,2.7914980076237623,4053.0209833934077
Fluntern,71,Kreis 7,7,Fluntern,8787,2.8436937125379655,3089.995227424721
Rathaus,11,Kreis 1,1,Rathaus,3260,0.35709856848072413,9129.132087730482
Hottingen,72,Kreis 7,7,Hottingen,11531,5.052666890525096,2282.16113388026
City,14,Kreis 1,1,City,785,0.595057148630281,1319.2010243166303
Albisrieden,91,Kreis 9,9,Albisrieden,23877,4.614737128859359,5174.07586462065
Sihlfeld,34,Kreis 3,3,Sihlfeld,21687,1.661015092176331,13056.473780490936
Affoltern,111,Kreis 11,11,Affoltern,27337,6.043942283315055,4523.041206972921
Oerlikon,115,Kreis 11,11,Oerlikon,24005,2.6745994518122633,8975.17569733091
Höngg,101,Kreis 10,10,Höngg,24810,6.983620901557056,3552.598336841051
Wipkingen,102,Kreis 10,10,Wipkingen,16734,2.1020559723049326,7960.7775532499
Hirzenbach,123,Kreis 12,12,Hirzenbach,12743,2.046415718290126,6226.98500901242
Unterstrass,61,Kreis 6,6,Unterstrass,25078,2.4661857794909685,10168.739195786056
Lindenhof,13,Kreis 1,1,Lindenhof,1040,0.26655640252252044,3901.613280184234
Hirslanden,73,Kreis 7,7,Hirslanden,7648,2.187004082153979,3497.021364709795
Gewerbeschule,51,Kreis 5,5,Gewerbeschule,9617,0.7302894582365772,13168.750954206673
Werd,41,Kreis 4,4,Werd,4495,0.3024017973539782,14864.329641329317
Altstetten,92,Kreis 9,9,Altstetten,36260,7.4420954564498665,4872.283648091939
Hard,44,Kreis 4,4,Hard,13154,1.3914920950842329,9453.161858748275
Hochschulen,12,Kreis 1,1,Hochschulen,684,0.5814183442350201,1176.4334696043138
Friesenberg,33,Kreis 3,3,Friesenberg,11137,5.297360277299277,2102.367861918939
Seebach,119,Kreis 11,11,Seebach,28336,4.710094353427576,6016.015364825898
Saatlen,121,Kreis 12,12,Saatlen,8814,1.1281359459064766,7812.888182476802
