Quartier,Inhabitants
Rathaus,3260
Hochschulen,684
Lindenhof,1040
City,785
Wollishofen,21800
Leimbach,6415
Enge,10032
Alt-Wiedikon,18610
Friesenberg,11137
Sihlfeld,21687
Werd,4495
Langstrasse,11869
Hard,13154
Gewerbeschule,9617
Escher Wyss,6077
Unterstrass,25078
Oberstrass,11083
Fluntern,8787
Hottingen,11531
Hirslanden,7648
Witikon,11747
Seefeld,5807
Mühlebach,6456
Weinegg,5635
Albisrieden,23877
Altstetten,36260
Höngg,24810
Wipkingen,16734
Affoltern,27337
Oerlikon,24005
Seebach,28336
Saatlen,8814
Schwamendingen-Mitte,11314
Hirzenbach,12743
